year,date
1950,1950-05-30
1951,1951-05-26
1952,1952-05-27
1953,1953-04-27
1954,1954-04-27
1955,1955-05-29
1956,1956-05-04
1957,1957-05-18
1958,1958-05-18
1959,1959-04-25
1960,1960-05-16
1961,1961-04-04
1962,1962-05-08
1963,1963-05-08
1964,1964-05-19
1965,1965-05-30
1966,1966-05-01
1967,1967-05-22
1968,1968-04-29
1969,1969-05-31
1970,1970-05-15
1971,1971-05-25
1972,1972-05-16
1973,1973-05-18
1974,1974-05-26
1975,1975-05-30
1976,1976-05-15
1977,1977-05-30
1978,1978-05-30
1979,1979-05-26
1980,1980-05-21
1981,1981-05-09
1982,1982-05-25
1983,1983-05-28
1984,1984-05-28
1985,1985-05-05
1986,1986-03-07
1987,1987-04-29
1988,1988-04-13
1989,1989-05-07
1990,1990-04-15
1991,1991-05-28
1992,1992-04-29
1993,1993-05-24
1994,1994-04-20
1995,1995-04-30
1996,1996-05-15
1997,1997-05-13
1998,1998-03-24
1999,1999-05-27
2000,2000-04-13
2001,2001-05-11
2002,2002-05-18
2003,2003-05-28
2004,2004-04-28
2005,2005-05-28
2006,2006-05-21
2007,2007-05-02
2008,2008-05-16
2009,2009-05-02
2010,2010-05-17
2011,2011-05-14
2012,2012-04-26
2013,2013-04-27
