Start Date,End Date,Critically Dry,Dry,Normal-Dry,Normal-Wet,Wet
10/01/00,10/31/00,20,20,50,50,125
11/01/00,11/30/00,20,20,60,60,125
12/01/00,12/31/00,20,20,60,60,125
01/01/00,02/09/00,20,20,60,60,125
02/10/00,03/09/00,20,20,60,60,125
03/10/00,04/09/00,25,25,60,60,125
04/10/00,05/09/00,45,45,math.inf,math.inf,math.inf
05/10/00,05/31/00,80,80,math.inf,math.inf,math.inf
06/01/00,06/30/00,100,100,math.inf,math.inf,math.inf
07/01/00,07/31/00,40,40,math.inf,math.inf,math.inf
08/01/00,08/31/00,20,20,200,200,300
09/01/00,09/30/00,20,20,120,120,200
