WY,WYT,Annual allocation mcm,Allocation adjustment
1950,4,458.5555186260556,1.0176609229811737
1951,6,830.7474480000001,1.0
1952,6,830.7474480000001,1.0
1953,4,464.12432138760755,1.0300196292403443
1954,5,543.689176286779,0.9301878197919473
1955,4,485.01319792327627,1.0763777963801096
1956,6,830.7474480000001,1.0
1957,4,460.0641150806078,1.021008913787054
1958,6,830.7474480000001,1.0
1959,4,444.88392226313863,0.987319887254466
1960,3,396.2315108571174,1.066166762093697
1961,3,347.5920646613121,0.9352893345301116
1962,5,581.409333283344,0.9947225431765041
1963,5,575.0634087727279,0.9838654175566616
1964,4,409.8837417846303,0.9096448522292903
1965,5,602.3314922258345,1.030517880403873
1966,4,436.75625897365904,0.9692823651030926
1967,6,830.7474480000001,1.0
1968,3,351.3677565779413,0.9454488425831384
1969,6,830.7474480000001,1.0
1970,5,493.8737148850524,0.8449594623880466
1971,4,416.4211457089131,0.9241531510966119
1972,2,231.6327975,1.0
1973,5,503.198433875225,0.8609129527386916
1974,5,522.970645839145,0.8947408668141447
1975,5,535.8214534312907,0.9167270773514656
1976,3,353.9403483432117,0.9523710881830256
1977,2,231.6327975,1.0
1978,6,830.7474480000001,1.0
1979,5,584.9660904079172,1.0008077335748709
1980,6,830.7474480000001,1.0
1981,4,449.2908301281829,0.9971000289020278
1982,6,830.7474480000001,1.0
1983,6,830.7474480000001,1.0
1984,5,598.491851718423,1.023948710024638
1985,4,449.1199012910953,0.9967206907607359
1986,6,830.7474480000001,1.0
1987,3,353.910284225091,0.952290192639401
1988,4,424.2747273486326,0.9415824106203697
1989,4,426.1214279906508,0.9456807476885987
1990,4,408.2002769062991,0.9059087802547952
1991,4,473.7632397234648,1.0514110423446927
1992,3,394.2796868000454,1.0609148578960637
1993,6,830.7474480000001,1.0
1994,3,381.6429645624181,1.0269123798941895
1995,6,830.7474480000001,1.0
1996,5,626.2701870301721,1.0714741533993948
1997,6,830.7474480000001,1.0
1998,6,830.7474480000001,1.0
1999,5,519.8863139169733,0.8894639400123386
2000,5,526.5882619478028,0.9009301797299155
2001,5,494.58123292753726,0.8461699420041707
2002,4,475.46104651667815,1.0551789429762282
2003,5,525.3114476593113,0.8987457016290222
2004,4,423.2517156172856,0.9393120659827945
2005,6,830.7474480000001,1.0
2006,6,830.7474480000001,1.0
2007,3,389.9424533412697,1.0492443722671334
2008,4,442.8731913591233,0.9828575218820504
2009,5,498.09604634270727,0.8521833716809609
2010,5,557.0075734246526,0.9529740206896958
2011,6,830.7474480000001,1.0
2012,4,448.8722990483585,0.9961711932263247
2013,3,405.15328414753054,1.0901731772336676
2014,1,144.154211,1.0
