Date,1,2,3,4,5
2009-01-01,0.109,0.361,0.157,0.165,0.208
2009-02-01,0.115,0.391,0.19,0.149,0.156
2009-03-01,0.099,0.294,0.151,0.204,0.253
2009-04-01,0.251,0.229,0.189,0.153,0.177
2009-05-01,0.11,0.198,0.251,0.225,0.216
2009-06-01,0.122,0.234,0.219,0.176,0.249
2009-07-01,0.199,0.193,0.193,0.188,0.228
2009-08-01,0.193,0.221,0.186,0.163,0.238
2009-09-01,0.121,0.291,0.222,0.16,0.205
2009-10-01,0.132,0.261,0.2,0.167,0.239
2009-11-01,0.187,0.273,0.209,0.152,0.18
2009-12-01,0.137,0.33,0.216,0.172,0.145
2030-01-01,0.185,0.322,0.247,0.145,0.101
2030-02-01,0.188,0.261,0.198,0.212,0.141
2030-03-01,0.168,0.152,0.351,0.13,0.198
2030-04-01,0.207,0.237,0.205,0.103,0.248
2030-05-01,0.197,0.214,0.246,0.144,0.199
2030-06-01,0.168,0.315,0.165,0.145,0.207
2030-07-01,0.114,0.302,0.239,0.216,0.128
2030-08-01,0.077,0.365,0.273,0.137,0.148
2030-09-01,0.038,0.192,0.323,0.219,0.228
2030-10-01,0.14,0.256,0.225,0.164,0.216
2030-11-01,0.261,0.271,0.147,0.162,0.159
2030-12-01,0.39,0.205,0.17,0.157,0.078
2045-01-01,0.166,0.217,0.176,0.187,0.255
2045-02-01,0.181,0.259,0.29,0.235,0.036
2045-03-01,0.104,0.125,0.179,0.302,0.29
2045-04-01,0.175,0.207,0.311,0.267,0.04
2045-05-01,0.132,0.214,0.369,0.15,0.135
2045-06-01,0.166,0.149,0.289,0.24,0.156
2045-07-01,0.17,0.36,0.175,0.106,0.189
2045-08-01,0.156,0.245,0.316,0.257,0.024
2045-09-01,0.204,0.212,0.358,0.092,0.135
2045-10-01,0.2,0.16,0.243,0.2,0.197
2045-11-01,0.328,0.246,0.169,0.232,0.024
2045-12-01,0.303,0.258,0.2,0.204,0.035
2060-01-01,0.188,0.224,0.163,0.169,0.255
2060-02-01,0.175,0.275,0.213,0.154,0.183
2060-03-01,0.085,0.143,0.169,0.308,0.295
2060-04-01,0.148,0.155,0.134,0.435,0.128
2060-05-01,0.116,0.114,0.141,0.399,0.23
2060-06-01,0.173,0.175,0.327,0.192,0.133
2060-07-01,0.181,0.367,0.178,0.072,0.203
2060-08-01,0.152,0.254,0.305,0.212,0.077
2060-09-01,0.202,0.222,0.308,0.157,0.111
2060-10-01,0.179,0.202,0.272,0.165,0.183
2060-11-01,0.151,0.246,0.256,0.21,0.137
2060-12-01,0.296,0.312,0.169,0.189,0.035
