Water Year,SJVI (maf)
1950,3.5
1951,4.392186298643099
1952,5.556772534047787
1953,3.089964109067629
1954,2.9909519941879474
1955,2.469791048451899
1956,5.092050768627335
1957,3.018614074068962
1958,4.84655737417183
1959,2.1888352983393053
1960,1.9251134425447478
1961,1.3572952514441772
1962,3.117920761589358
1963,3.7615503387094726
1964,2.1555925174116464
1965,3.9358003982915726
1966,2.41457813633412
1967,4.711936094690634
1968,2.100798537438928
1969,5.720985024099714
1970,3.6459349792127993
1971,2.694222778498703
1972,1.8409342379212954
1973,3.0050868755758087
1974,3.6352523323764574
1975,3.6097606057745595
1976,1.4023797101139273
1977,0.6940255690619758
1978,4.586667349987831
1979,3.856921853320187
1980,4.757284098497621
1981,2.61323843588261
1982,5.827863843371344
1983,6.965353542276191
1984,4.433701149674352
1985,2.5911131586806277
1986,4.320435028949163
1987,1.7033996342856532
1988,1.4960224554291184
1989,2.0676904232035436
1990,1.6959711995550126
1991,2.173163978924814
1992,1.6813292220064742
1993,4.4062645267198945
1994,1.894363004312901
1995,5.641337188558007
1996,4.659109323453688
1997,4.811006923315747
1998,5.35344825098244
1999,3.796321909193992
2000,3.3509701830371004
2001,2.526979129258754
2002,2.589572269486993
2003,3.096789471800466
2004,2.116066087822615
2005,4.955403079951502
2006,6.090464760299527
2007,2.1963497287020384
2008,2.0166441014519547
2009,2.652992603602933
2010,3.1668334574769896
2011,5.294062107188999
2012,2.461849213751334
2013,1.5942716014613854
